YEARNO,FireName,GISNO,NIFCNO,FireNumber,FORID,UniqueFireIdentifier,RelatedIrwinIDs,FireId,FireCode,FireType,Response,Landowner,Responder,FireUse,Cause,GeneralCause,SpecificCause,StartDate,IADate,ControlDate,OutDate,GIS_Acres,ControlAcr,UTME,UTMN,LongNAD83,LatNAD83,ContainDate,FireReport,Shape_Length,Shape_Area
1974.000000000000000,Garfield,1974005.000000000000000,4093.000000000000000,4093.000000000000000,,,,211767.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,6/25/1974 0:00:00,6/25/1974 0:00:00,6/25/1974 0:00:00,6/26/1974 0:00:00,0.222446400000000,0.100000000000000,346044.000000000000000,4021799.000000000000000,-118.715270000000004,36.328940000000003,,,120.001000035301331,900.014999894519178
1978.000000000000000,Halfway,1978021.000000000000000,8050.000000000000000,8050.000000000000000,,,,212046.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,8/4/1978 0:00:00,8/4/1978 0:00:00,8/4/1978 0:00:00,8/7/1978 0:00:00,0.222453060000000,0.100000000000000,350382.000000000000000,4032075.000000000000000,-118.668940000000006,36.422220000000003,,,120.000900042971281,900.013499807067546
2011.000000000000000,Ferguson,2011134.000000000000000,134.000000000000000,134.000000000000000,{8107674A-133D-40DA-9E97-2437B6783F96},2011-CAKNP-000134,,628433.000000000000000,GG0J,WF,Monitor,NPS,NPS,Yes,Natural,Natural,Lightning,9/22/2011 0:00:00,9/22/2011 0:00:00,10/27/2011 0:00:00,10/27/2011 0:00:00,0.222458740000000,0.100000000000000,355590.000000000000000,4061516.000000000000000,-118.616389999999996,36.688330000000001,,Smoke reported from Helicopter 552 during another aerial mission.  Single tree lightning strike in a meadow area.  Low to moderate smoldering fire behavior.  Fire was placed in monitoring status due to remote nature of fire.,120.000000000000000,900.000000000000000
1966.000000000000000,Incinerato,1966041.000000000000000,6020.000000000000000,6020.000000000000000,,,,211167.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Human,Recreation and ceremony,Campfire,8/8/1966 0:00:00,8/8/1966 0:00:00,8/8/1966 0:00:00,8/9/1966 0:00:00,0.222409780000000,0.100000000000000,324175.000000000000000,4069311.000000000000000,-118.969639999999998,36.753270000000001,,,120.001700020474587,900.025500199621888
1956.000000000000000,Sentinel R,1956082.000000000000000,6050.000000000000000,6050.000000000000000,,,,210714.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,8/18/1956 0:00:00,8/18/1956 0:00:00,8/18/1956 0:00:00,8/20/1956 0:00:00,0.222451240000000,2.000000000000000,350919.000000000000000,4069565.000000000000000,-118.670220000000000,36.760140000000000,,,120.000100050134648,900.001499864512198
1986.000000000000000,Hotel,1986016.000000000000000,16.000000000000000,16.000000000000000,,,,212558.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,7/23/1986 0:00:00,7/23/1986 0:00:00,7/24/1986 0:00:00,7/31/1986 0:00:00,0.222452210000000,0.200000000000000,351405.000000000000000,4074023.000000000000000,-118.665639999999996,36.800390000000000,,,120.000000051402594,899.999999801029958
1998.000000000000000,Woods Crk,1998042.000000000000000,42.000000000000000,42.000000000000000,{529AC7DA-EF2A-473A-BD43-305AB8EF8787},1998-CAKNP-000042,,213875.000000000000000, ,WF,Monitor,NPS,NPS,Yes,Natural,Natural,Lightning,8/12/1998 0:00:00,,,10/27/1998 0:00:00,0.222475580000000,0.100000000000000,366766.000000000000000,4078342.000000000000000,-118.494270000000000,36.841589999999997,,"this was a lightning strike fire, it burned in 3 dead red fir trees. it was    monitored by aircraft",120.000000019000339,899.999999660000071
1961.000000000000000,Cliff Crk,1961061.000000000000000,1061.000000000000000,1061.000000000000000,,,,211003.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,8/11/1961 0:00:00,8/11/1961 0:00:00,8/12/1961 0:00:00,8/16/1961 0:00:00,0.222456580000000,0.100000000000000,352293.000000000000000,4043747.000000000000000,-118.649860000000004,36.527700000000003,,,120.001100054356826,900.016499837850574
2016.000000000000000,Meadow,2016087.000000000000000,87.000000000000000,87.000000000000000,{31242C5A-8DBB-494A-9925-2FEC7D256627},2016-CAKNP-000087,,694569.000000000000000,KG26,WF,Full Suppression,NPS,NPS,No,Natural,Other causes,Unknown,7/20/2016 0:00:00,7/21/2016 0:00:00,7/24/2016 0:00:00,7/24/2016 0:00:00,0.222442940000000,0.100000000000000,346050.000000000000000,4050735.000000000000000,-118.720968999999997,36.589683000000001,,"This fire was reported days ago by a park visitor about smoke on the Alta Peak Trail. ECC-1, DV-3 and Fuels 3 hiked the area and found no sign of smoke or fire. A few days later, a new report came in from one of the Giant Forest interpretive rangers who said there was smoke on the Alta trail towards Panther Gap. She described the smoke as being just off the trail a good distance before Panther Gap, burning about a tenth of acre in some low brush. She stated there were some flames but that they weren't high and some visitors had been throwing dirt on the fire. SEKI Engine 51 Module was dispatched to the scene where direct suppression was performed due to the fire's proximity to established trails. After two weeks in patrol status, the fire was officially declared out by park duty officer DV-4 on 7/24/16 at 1211.",120.000000000000000,900.000000000000000
1952.000000000000000,South Fork,1952028.000000000000000,2005.000000000000000,2005.000000000000000,,,,210513.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,7/13/1952 0:00:00,7/14/1952 0:00:00,7/14/1952 0:00:00,7/14/1952 0:00:00,0.222453220000000,0.100000000000000,350717.000000000000000,4061364.000000000000000,-118.670879999999997,36.686210000000003,,,120.000600057510681,900.008999702651522
